°­Àç¹Î,   5,  64,  88, 157, 52.333333
ÇÑ¹Î±¸,  14,  95,  57, 166, 55.333333
¹é¹Î¼ö,  43,  96,  26, 165, 55.000000
°í¹Î±¸,  91,  38,  42, 171, 57.000000
ºÀÀç¹Î,  95,  76,   5, 176, 58.666667
ÇöÃ¢¹Î,  37,  69,  38, 144, 48.000000
ÃÖÁØÈ£,  75,  84,  90, 249, 83.000000
ÇÑÀ±È¸,  68,  22,   8,  98, 32.666667
ÀÌÇö¿µ,  69,  48,  81, 198, 66.000000
ºÀÁØÈ£,  34,   9,   2,  45, 15.000000
ºÀÃ¶¼ö,  67,  58,  54, 179, 59.666667
¹é¿µÈñ,  24,   6,   3,  33, 11.000000
¼Û¼öÁ¤,  33,  46,  21, 100, 33.333333
ÇÑ¹Î¼Û,  79,  58,  82, 219, 73.000000
ÃÖ¹Î±¸,  27,  74,   3, 104, 34.666667
ÀÌ¸²¼ö,  94,  45,  80, 219, 73.000000
¹éÃ¢¹Î,  20,  13,   9,  42, 14.000000
ÀÚ¹Î¼ö,  98,  50,  84, 232, 77.333333
°í¹Î±¸,  52,  46,  27, 125, 41.666667
ÃÖÁ¤½Ä,  36,  31,  20,  87, 29.000000
¹éÃ¢ÈÆ,  69,  64,  95, 228, 76.000000
ºÀÃ¢¹Î,  90,  75,  93, 258, 86.000000
ÀÌÁØ¹Î,  12,  86,  18, 116, 38.666667
Çö¹Î±¸,   3,   1,  42,  46, 15.333333
ÀÚ¼öÁ¤,  50,   9,  42, 101, 33.666667
¼Û¹Î¼Û,  49,  52,  25, 126, 42.000000
¹é¹Î¼Û,  83,  91,  54, 228, 76.000000
ºÀ¼öÁ¤,  73,  37,  52, 162, 54.000000
¼ÛÀç¹Î,  75,  89,  71, 235, 78.333333
¼ÛÃ¢¹Î,  20,  43,  13,  76, 25.333333
ÇöÃ¢¹Î,  37,  51,  13, 101, 33.666667
ºÀÁØÈ£,  38,  38,  74, 150, 50.000000
ÇöÁØÈ£,  87,  23, 100, 210, 70.000000
Çö¸²¼ö,  90,  10,  17, 117, 39.000000
Çö¿µÈñ,   4,  71,  16,  91, 30.333333
ÀÚÃ¶¼ö,  43,  79,  93, 215, 71.666667
±èÁØ¹Î,  73,  70,  82, 225, 75.000000
ÇöÀç¹Î,  28,  94,  92, 214, 71.333333
°­Ã¢ÈÆ,  78,  36, 100, 214, 71.333333
ÃÖÇö¿µ, 100,  47,   6, 153, 51.000000
ºÀÀç¹Î,   3,  59,   3,  65, 21.666667
È«À±È¸,  41,  20,  17,  78, 26.000000
¼Û¸²¼ö,  99,  75,  34, 208, 69.333333
ÀÚÁØ¹Î,  14,  49,  45, 108, 36.000000
°í¼öÁ¤,  16,  89,  12, 117, 39.000000
ÇÑ¸²¼ö,  59,  96,  69, 224, 74.666667
±èÃ¢¹Î,  80,  99,  36, 215, 71.666667
°íÁØ¹Î,  52,  98,  42, 192, 64.000000
ÀÚÃ¢ÈÆ,  59,  84,  78, 221, 73.666667
±èÃ¢ÈÆ,   2,  86,  50, 138, 46.000000
ÇÑ¹Î±¸,  43,  53,  36, 132, 44.000000
¹ÚÁ¤½Ä,   9,  71,  16,  96, 32.000000
¹éÁ¤½Ä,  38,  30,  50, 118, 39.333333
ÇÑÀç¹Î,  34,  35,  44, 113, 37.666667
ÃÖÁØ¹Î,  97,  12,  96, 205, 68.333333
¼ÛÁ¤½Ä,  73,  69, 100, 242, 80.666667
ÀÚÁØ¹Î,  15,  20,  12,  47, 15.666667
¹é¸²¼ö,  82,  84,   9, 175, 58.333333
ÃÖ¹Î¼Û,  64,  46,  15, 125, 41.666667
°íÁØÈ£,  10,  14,  26,  50, 16.666667
ÃÖÃ¢ÈÆ,  34,  88,  34, 156, 52.000000
°­¼öÁ¤,  40,  43,  95, 178, 59.333333
ÀÌ¹Î¼Û,  62,  20, 100, 182, 60.666667
Çö¹Î¼Û,  46,  49,  26, 121, 40.333333
±èÃ¢¹Î,   6,  62,  75, 143, 47.666667
¹é¹Î¼ö,  95,  70,  43, 208, 69.333333
ÃÖ¼öÁ¤,  47,   6,  86, 139, 46.333333
¹Ú¼öÁ¤,  40,  76,  52, 168, 56.000000
ÇöÁ¤½Ä,  94,  50,   0, 144, 48.000000
°­Àç¹Î,  76,  89,  88, 253, 84.333333
ºÀ¹Î±¸,  24,  84,  89, 197, 65.666667
¹Ú¹Î¼ö,  59,  20,  54, 133, 44.333333
¼ÛÀ±È¸,  93,  84,  48, 225, 75.000000
¹ÚÁØ¹Î,  52,  41,  70, 163, 54.333333
±èÃ¢ÈÆ,  84,  97,  99, 280, 93.333333
¼Û¸²¼ö,  22,  47,  88, 157, 52.333333
ºÀÃ¶¼ö,  80,  20,  62, 162, 54.000000
ºÀ¿µÈñ,  88,  72,  46, 206, 68.666667
ÃÖÁ¤½Ä,   8,  46,   6,  60, 20.000000
ÃÖÃ¢ÈÆ,  30,  44,  41, 115, 38.333333
°í¼öÁ¤,  33,  37,  70, 140, 46.666667
¼ÛÃ¶¼ö,  82,  64,  11, 157, 52.333333
ÀÌÁ¤½Ä,   2,  16,  62,  80, 26.666667
ÀÚ¹Î±¸,  41,  96,  30, 167, 55.666667
È«Ã¶¼ö,  14,  12,  63,  89, 29.666667
¹Ú¹Î¼ö,  13,  47,  84, 144, 48.000000
°íÃ¢¹Î,   2,  86, 100, 188, 62.666667
ÀÌÇö¿µ,  17,  61,  66, 144, 48.000000
ÇÑÁ¤½Ä,   1,  55,  27,  83, 27.666667
Çö¹Î¼Û,  79,  35,  49, 163, 54.333333
ÇöÃ¶¼ö,  45,  36,  55, 136, 45.333333
ÃÖÀ±È¸,  79,  21,  40, 140, 46.666667
È«Çö¿µ,  91,  65,  15, 171, 57.000000
¹éÃ¢ÈÆ,  15,  63,  99, 177, 59.000000
ºÀÀ±È¸, 100,  10,  41, 151, 50.333333
°­Ã¶¼ö,  77,  95,  40, 212, 70.666667
ÃÖ¹Î¼Û,  73,  70,  13, 156, 52.000000
°­¹Î¼ö,  30,  80,   3, 113, 37.666667
